1_0h,,2_0h,,3_0h,,1_12h,,2_12h,,3_12h,,1_24h,,2_24h,,3_24h,,1_36h,,2_36h,,3_36h,,1_48h,,2_48h,,3_48h,
0.343,0.000173410904935151,5.065,0.00256071788191411,0.343,0.000173410904935151,0.343,0.000173410904935151,5.838,0.00295152438195747,5.151,0.00260419700093575,7.555,0.00381959004893605,8.842,0.00447026012080643,1.374,0.000694654762043433,5.666,0.00286456614391419,7.555,0.00381959004893605,7.383,0.00373263181089277,8.757,0.0044272865729362,8.156,0.00412343831093613,7.383,0.00373263181089277
0.343,0.000173410904935151,5.151,0.00260419700093575,0.343,0.000173410904935151,0.343,0.000173410904935151,5.924,0.00299500350097911,5.58,0.00282108702489254,7.555,0.00381959004893605,8.842,0.00447026012080643,1.717,0.000868065666978584,5.838,0.00295152438195747,7.555,0.00381959004893605,7.555,0.00381959004893605,8.842,0.00447026012080643,8.156,0.00412343831093613,7.383,0.00373263181089277
0.343,0.000173410904935151,5.151,0.00260419700093575,0.343,0.000173410904935151,0.601,0.000303848262000075,6.009,0.00303797704884934,5.838,0.00295152438195747,7.641,0.00386306916795769,8.928,0.00451373923982807,1.889,0.000955023905021867,6.009,0.00303797704884934,7.641,0.00386306916795769,7.641,0.00386306916795769,8.842,0.00447026012080643,8.156,0.00412343831093613,7.383,0.00373263181089277
0.343,0.000173410904935151,5.752,0.00290804526293583,0.343,0.000173410904935151,0.687,0.000347327381021716,6.181,0.00312493528689262,6.267,0.00316841440591426,7.641,0.00386306916795769,8.928,0.00451373923982807,4.207,0.00212693783400053,6.009,0.00303797704884934,7.812,0.00394952183484956,7.726,0.00390604271582792,9.014,0.00455721835884971,8.242,0.00416691742995777,7.383,0.00373263181089277
0.343,0.000173410904935151,6.009,0.00303797704884934,0.343,0.000173410904935151,0.687,0.000347327381021716,6.353,0.0032118935249359,6.353,0.0032118935249359,7.641,0.00386306916795769,8.928,0.00451373923982807,4.979,0.00251723876289247,6.009,0.00303797704884934,7.812,0.00394952183484956,7.812,0.00394952183484956,9.014,0.00455721835884971,8.327,0.004209890977828,7.383,0.00373263181089277
0.343,0.000173410904935151,6.181,0.00312493528689262,0.343,0.000173410904935151,0.944,0.000477259166935226,6.525,0.00329885176297918,6.353,0.0032118935249359,7.641,0.00386306916795769,9.014,0.00455721835884971,5.58,0.00282108702489254,6.095,0.00308145616787098,7.984,0.00403648007289284,7.812,0.00394952183484956,9.014,0.00455721835884971,8.327,0.004209890977828,7.469,0.00377611092991441
0.343,0.000173410904935151,6.267,0.00316841440591426,0.343,0.000173410904935151,1.202,0.00060769652400015,6.525,0.00329885176297918,6.353,0.0032118935249359,7.726,0.00390604271582792,9.014,0.00455721835884971,5.924,0.00299500350097911,6.696,0.00338530442987105,7.984,0.00403648007289284,7.898,0.0039930009538712,9.1,0.00460069747787135,8.413,0.00425337009684964,7.555,0.00381959004893605
0.343,0.000173410904935151,6.267,0.00316841440591426,0.429,0.000216890023956792,1.975,0.000998503024043508,6.525,0.00329885176297918,6.439,0.00325537264395754,7.726,0.00390604271582792,9.014,0.00455721835884971,7.469,0.00377611092991441,6.782,0.00342878354889269,8.07,0.00407995919191449,7.898,0.0039930009538712,9.1,0.00460069747787135,8.413,0.00425337009684964,7.641,0.00386306916795769
0.343,0.000173410904935151,6.353,0.0032118935249359,0.515,0.000260369142978434,2.232,0.00112843480995702,6.61,0.00334182531084941,6.439,0.00325537264395754,7.812,0.00394952183484956,9.1,0.00460069747787135,7.812,0.00394952183484956,6.954,0.00351574178693598,8.156,0.00412343831093613,8.156,0.00412343831093613,9.272,0.00468765571591464,8.757,0.0044272865729362,7.641,0.00386306916795769
0.343,0.000173410904935151,6.439,0.00325537264395754,0.601,0.000303848262000075,2.318,0.00117191392897866,6.868,0.00347226266791434,6.525,0.00329885176297918,7.812,0.00394952183484956,9.186,0.00464417659689299,7.898,0.0039930009538712,6.954,0.00351574178693598,8.242,0.00416691742995777,8.242,0.00416691742995777,9.272,0.00468765571591464,8.757,0.0044272865729362,7.641,0.00386306916795769
0.343,0.000173410904935151,6.525,0.00329885176297918,0.601,0.000303848262000075,2.575,0.00130184571489217,7.125,0.00360219445382784,6.61,0.00334182531084941,7.898,0.0039930009538712,9.272,0.00468765571591464,8.156,0.00412343831093613,6.954,0.00351574178693598,8.242,0.00416691742995777,8.242,0.00416691742995777,9.358,0.00473113483493628,8.757,0.0044272865729362,7.726,0.00390604271582792
0.343,0.000173410904935151,6.61,0.00334182531084941,0.601,0.000303848262000075,2.833,0.00143228307195709,7.125,0.00360219445382784,6.61,0.00334182531084941,7.984,0.00403648007289284,9.358,0.00473113483493628,8.242,0.00416691742995777,7.04,0.00355922090595762,8.242,0.00416691742995777,8.327,0.004209890977828,9.443,0.0047741083828065,8.842,0.00447026012080643,7.812,0.00394952183484956
0.343,0.000173410904935151,6.782,0.00342878354889269,0.601,0.000303848262000075,3.262,0.00164917309591389,7.469,0.00377611092991441,6.696,0.00338530442987105,8.07,0.00407995919191449,9.443,0.0047741083828065,8.327,0.004209890977828,7.125,0.00360219445382784,8.327,0.004209890977828,8.413,0.00425337009684964,9.443,0.0047741083828065,8.842,0.00447026012080643,7.898,0.0039930009538712
0.343,0.000173410904935151,6.782,0.00342878354889269,0.687,0.000347327381021716,4.035,0.00203997959595724,7.555,0.00381959004893605,6.868,0.00347226266791434,8.07,0.00407995919191449,9.443,0.0047741083828065,8.413,0.00425337009684964,7.125,0.00360219445382784,8.413,0.00425337009684964,8.499,0.00429684921587128,9.443,0.0047741083828065,8.842,0.00447026012080643,7.898,0.0039930009538712
0.343,0.000173410904935151,7.04,0.00355922090595762,0.687,0.000347327381021716,4.035,0.00203997959595724,7.641,0.00386306916795769,7.04,0.00355922090595762,8.156,0.00412343831093613,9.443,0.0047741083828065,8.413,0.00425337009684964,7.125,0.00360219445382784,8.413,0.00425337009684964,8.499,0.00429684921587128,9.529,0.00481758750182815,8.928,0.00451373923982807,7.898,0.0039930009538712
0.343,0.000173410904935151,7.383,0.00373263181089277,0.687,0.000347327381021716,4.55,0.00230034873893568,7.641,0.00386306916795769,7.211,0.00364567357284949,8.156,0.00412343831093613,9.443,0.0047741083828065,8.413,0.00425337009684964,7.297,0.00368915269187113,8.413,0.00425337009684964,8.499,0.00429684921587128,9.615,0.00486106662084979,8.928,0.00451373923982807,7.898,0.0039930009538712
0.343,0.000173410904935151,7.383,0.00373263181089277,0.687,0.000347327381021716,4.808,0.0024307860960006,7.726,0.00390604271582792,7.211,0.00364567357284949,8.156,0.00412343831093613,9.443,0.0047741083828065,8.499,0.00429684921587128,7.383,0.00373263181089277,8.413,0.00425337009684964,8.585,0.00434032833489292,9.615,0.00486106662084979,9.014,0.00455721835884971,7.984,0.00403648007289284
0.343,0.000173410904935151,7.469,0.00377611092991441,0.687,0.000347327381021716,4.808,0.0024307860960006,7.898,0.0039930009538712,7.555,0.00381959004893605,8.242,0.00416691742995777,9.529,0.00481758750182815,8.499,0.00429684921587128,7.383,0.00373263181089277,8.499,0.00429684921587128,8.757,0.0044272865729362,9.615,0.00486106662084979,9.1,0.00460069747787135,7.984,0.00403648007289284
0.343,0.000173410904935151,7.726,0.00390604271582792,0.687,0.000347327381021716,5.065,0.00256071788191411,7.898,0.0039930009538712,7.812,0.00394952183484956,8.242,0.00416691742995777,9.529,0.00481758750182815,8.585,0.00434032833489292,7.469,0.00377611092991441,8.499,0.00429684921587128,8.842,0.00447026012080643,9.615,0.00486106662084979,9.186,0.00464417659689299,7.984,0.00403648007289284
0.343,0.000173410904935151,7.812,0.00394952183484956,0.687,0.000347327381021716,5.065,0.00256071788191411,7.984,0.00403648007289284,7.984,0.00403648007289284,8.242,0.00416691742995777,9.615,0.00486106662084979,8.585,0.00434032833489292,7.555,0.00381959004893605,8.499,0.00429684921587128,8.928,0.00451373923982807,9.701,0.00490454573987143,9.272,0.00468765571591464,8.07,0.00407995919191449
0.343,0.000173410904935151,7.898,0.0039930009538712,0.858,0.000433780047913585,5.323,0.00269115523897903,7.984,0.00403648007289284,7.984,0.00403648007289284,8.327,0.004209890977828,9.615,0.00486106662084979,8.585,0.00434032833489292,7.555,0.00381959004893605,8.585,0.00434032833489292,8.928,0.00451373923982807,9.701,0.00490454573987143,9.272,0.00468765571591464,8.156,0.00412343831093613
0.343,0.000173410904935151,7.984,0.00403648007289284,0.944,0.000477259166935226,5.408,0.00273412878684926,8.07,0.00407995919191449,7.984,0.00403648007289284,8.327,0.004209890977828,9.615,0.00486106662084979,8.585,0.00434032833489292,7.641,0.00386306916795769,8.585,0.00434032833489292,8.928,0.00451373923982807,9.787,0.00494802485889307,9.272,0.00468765571591464,8.242,0.00416691742995777
0.343,0.000173410904935151,8.07,0.00407995919191449,1.03,0.000520738285956867,5.58,0.00282108702489254,8.156,0.00412343831093613,8.07,0.00407995919191449,8.413,0.00425337009684964,9.701,0.00490454573987143,8.757,0.0044272865729362,7.641,0.00386306916795769,8.585,0.00434032833489292,9.1,0.00460069747787135,9.787,0.00494802485889307,9.358,0.00473113483493628,8.242,0.00416691742995777
0.343,0.000173410904935151,8.07,0.00407995919191449,1.116,0.000564217404978509,5.666,0.00286456614391419,8.156,0.00412343831093613,8.242,0.00416691742995777,8.413,0.00425337009684964,9.787,0.00494802485889307,8.757,0.0044272865729362,7.641,0.00386306916795769,8.585,0.00434032833489292,9.1,0.00460069747787135,9.873,0.00499150397791471,9.358,0.00473113483493628,8.327,0.004209890977828
0.343,0.000173410904935151,8.156,0.00412343831093613,1.717,0.000868065666978584,5.838,0.00295152438195747,8.242,0.00416691742995777,8.242,0.00416691742995777,8.413,0.00425337009684964,9.787,0.00494802485889307,8.757,0.0044272865729362,7.726,0.00390604271582792,8.671,0.00438380745391456,9.1,0.00460069747787135,9.873,0.00499150397791471,9.358,0.00473113483493628,8.327,0.004209890977828
0.343,0.000173410904935151,8.499,0.00429684921587128,1.889,0.000955023905021867,6.095,0.00308145616787098,8.499,0.00429684921587128,8.242,0.00416691742995777,8.413,0.00425337009684964,9.873,0.00499150397791471,8.842,0.00447026012080643,7.812,0.00394952183484956,8.671,0.00438380745391456,9.1,0.00460069747787135,9.873,0.00499150397791471,9.358,0.00473113483493628,8.327,0.004209890977828
0.343,0.000173410904935151,8.585,0.00434032833489292,2.661,0.00134532483391381,6.181,0.00312493528689262,8.585,0.00434032833489292,8.242,0.00416691742995777,8.499,0.00429684921587128,9.873,0.00499150397791471,9.186,0.00464417659689299,7.812,0.00394952183484956,8.671,0.00438380745391456,9.358,0.00473113483493628,9.958,0.00503447752578494,9.443,0.0047741083828065,8.327,0.004209890977828
0.343,0.000173410904935151,8.585,0.00434032833489292,2.661,0.00134532483391381,6.181,0.00312493528689262,8.671,0.00438380745391456,8.242,0.00416691742995777,8.499,0.00429684921587128,9.873,0.00499150397791471,9.186,0.00464417659689299,7.812,0.00394952183484956,8.671,0.00438380745391456,9.358,0.00473113483493628,9.958,0.00503447752578494,9.443,0.0047741083828065,8.327,0.004209890977828
0.343,0.000173410904935151,8.585,0.00434032833489292,3.692,0.00186656869102209,6.525,0.00329885176297918,8.671,0.00438380745391456,8.327,0.004209890977828,8.585,0.00434032833489292,9.873,0.00499150397791471,9.272,0.00468765571591464,7.812,0.00394952183484956,8.757,0.0044272865729362,9.529,0.00481758750182815,9.958,0.00503447752578494,9.443,0.0047741083828065,8.413,0.00425337009684964
0.429,0.000216890023956792,8.585,0.00434032833489292,3.777,0.00190954223889232,6.61,0.00334182531084941,8.671,0.00438380745391456,8.327,0.004209890977828,8.585,0.00434032833489292,9.958,0.00503447752578494,9.272,0.00468765571591464,7.898,0.0039930009538712,8.757,0.0044272865729362,9.701,0.00490454573987143,9.958,0.00503447752578494,9.443,0.0047741083828065,8.413,0.00425337009684964
0.515,0.000260369142978434,8.585,0.00434032833489292,3.863,0.00195302135791396,6.61,0.00334182531084941,8.757,0.0044272865729362,8.671,0.00438380745391456,8.671,0.00438380745391456,10.044,0.00507795664480658,9.358,0.00473113483493628,7.898,0.0039930009538712,8.757,0.0044272865729362,9.701,0.00490454573987143,10.044,0.00507795664480658,9.529,0.00481758750182815,8.499,0.00429684921587128
0.515,0.000260369142978434,8.671,0.00438380745391456,3.949,0.0019965004769356,6.61,0.00334182531084941,8.928,0.00451373923982807,8.671,0.00438380745391456,8.671,0.00438380745391456,10.044,0.00507795664480658,9.358,0.00473113483493628,7.984,0.00403648007289284,8.842,0.00447026012080643,9.701,0.00490454573987143,10.044,0.00507795664480658,9.529,0.00481758750182815,8.499,0.00429684921587128
