,,N of components,ς,μ,Dgr,ς,μ,LCCS (nodes),ς,μ,LCCS (edges) ,ς,μ,LCC APL,ς,μ,Area senderos,Mean,Min,Max,%,ς,μ,,Area celulas,Mean,Min,Max,,ς,μ,
R1_2-24h,,14,,,2.682,,,1038,,,1413,,,24.833020287952,,,17736.318,167.41,117,174,8.96697071311256,,,,13492.716,86.273,85,120,6.82152796382796,,,
R2_2-24h,,5,,,2.698,,,925,,,1253,,,22.4910717643077,,,20554.826,167.348,117,180,10.3919270479434,,,,17011.666,85.074,85,114,8.60060756709779,,,
R3_2-24h,,6,,,2.707,,,772,,,1057,,,23.3737409901846,,,17402.451,167.407,121,179,8.79817718950328,,,,10040.985,85.13,85,118,5.07643234778507,,,
R4_2-24h,,7,3.53553390593274,8,2.703,0.0095,2.6975,912,94.399086330324,911.75,1241,126.0793400998,1241,24.401544018801,0.91124156341309,23.774844265311,18399.93,166.999,123,192,9.30247379604499,0.716054944072238,9.36488718665106,18613.508416667,9959.171,86.107,84,113,5.03506954960325,1.69647919285175,6.38340935707852,12049.658416667
R1_3-24h,,13,,,2.597,,,829,,,1094,,,23.7308755328618,,,17528.134,168.455,137,173,8.8617188885265,,,,11530.98,85.042,85,115,5.82973083553681,,,
R2_3-24h,,17,,,2.584,,,921,,,1214,,,23.1159304161471,,,17079.487,166.763,117,183,8.63489590815787,,,,13976.389,85.108,85,114,7.06605907934604,,,
R3_3-24h,,5,,,2.686,,,783,,,1058,,,23.4320153911311,,,20191.685,167.913,124,174,10.2083334344476,,,,11582.49,86.343,85,119,5.85577280554617,,,
R4_3-24h,,10,4.38035386698381,11.25,2.704,0.052836422096883,2.64275,938,64.138034737588,867.75,1282,90.199778270237,1162,24.2354764032259,0.41238175925121,23.628574435841,20206.022,167.035,121,196,10.2155818080454,0.850102459840266,9.48013250979434,2070.3093518166,10751.214,86.067,85,113,5.43550364108299,0.70620646555413,6.046766590378,2253.3924286772
,,,,,,,,,,,,,,,,,,,,,,1.04668868278197,9.41045288207643,,,,,,,1.13925020475492,6.0919596798648,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_1-36h,,12,,,2.726,,,1205,,,1659,,,28.2572018965317,,,21677.388,167.863,122,179,10.9594620108174,,,,15679.118,85.043,85,114,7.92690974042278,,,
R2_1-36h,,9,,,2.648,,,891,,,1193,,,23.2678627979033,,,16547.566,169.669,137,195,8.36597199572635,,,,9144.55,85.022,85,100,4.62322067266687,,,
R3_1-36h,,6,,,2.749,,,1194,,,1648,,,24.7526925195503,,,24661.842,168.515,127,178,12.4683158559409,,,,15914.516,85.051,85,115,8.04592017832344,,,
R4_1-36h,,2,3.69966214673719,7.25,2.876,0.081940145838288,2.74975,1649,270.32977545953,1234.75,2371,421.43052511654,1717.75,30.302584615657,2.7822204904092,26.645085457411,35392.023,168.913,129,225,17.8931858189961,4.02187351378088,12.4217339203702,,16025.519,85.662,85,126,8.1020400928439,1.70243456776139,7.17452267106425,
R1_2-36h,,7,,,2.764,,,1247,,,1732,,,26.3875380783093,,,23240.011,169.091,135,181,11.7494791201541,,,,13900.069,85.028,85,113,7.02747388907009,,,
R2_2-36h,,7,,,2.762,,,1247,,,1731,,,26.4718921061841,,,17872.903,170.13,139,200,9.0360241488285,,,,11031.339,85.016,85,108,5.57712675987296,,,
R3_2-36h,,6,,,2.784,,,1345,,,1880,,,25.276603111122,,,28119.497,168.995,135,200,14.2164064754847,,,,13823.234,85.078,84,114,6.98862832965116,,,
R4_2-36h,,3,1.6393596310755,5.75,2.864,0.041602283591168,2.7935,1568,131.10563489034,1351.75,2247,210.69468431833,1897.5,29.7175957812821,1.6586195395785,26.963407269224,35411.768,169.188,135,216,17.9031683213808,3.76797114924707,13.226269516462,25649.19875,16496.4,85.55,85,115,8.34010394219308,1.12845319471028,6.98333323019682,14294.38075
R1_3-36h,,11,,,2.739,,,1376,,,1900,,,27.600756743691,,,22578.201,167.672,121,180,11.4148870764365,,,,17247.064,85.063,84,115,8.71961800499844,,,
R2_3-36h,,8,,,2.758,,,962,,,1337,,,24.4981067559377,,,18471.099,169.279,135,183,9.33845478932001,,,,9823.358,85.02,85,94,4.9664064148162,,,
R3_3-36h,,7,,,2.778,,,1310,,,1829,,,25.3430231673918,,,26395.649,168.853,133,188,13.3448786572613,,,,15642.289,85.077,85,115,7.90829006048734,,,
R4_3-36h,,2,3.24037034920393,7,2.887,0.057395557319361,2.7905,1522,205.65687442923,1292.5,2197,308.96065688045,1815.75,28.9773249564075,1.7784151444426,26.604802905857,37422.438,168.944,128,215,18.9197050683953,4.11591636487379,13.2544813978533,6845.4369454768,16805.113,85.565,85,117,8.49618032905968,1.73815929715592,7.52262370234041,2688.9083754283
,,,,,,,,,,,,,,,,,,,,,,3.46085543845961,12.9674949448952,,,,,,,1.35943450341321,7.22682653453383,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_1-48h,,12,,,2.743,,,1097,,,1522,,,24.3915314057893,,,18522.952,168.221,125,179,9.3646701702343,,,,23718.963,85.065,84,115,11.9916234342664,,,
R2_1-48h,,9,,,2.776,,,1068,,,1495,,,23.2576852474958,,,25425.212,168.849,126,192,12.8542537057961,,,,18936.401,85.021,85,115,9.57369805721545,,,
R3_1-48h,,6,,,2.8,,,1347,,,1893,,,25.9211232949158,,,34405.017,168.14,123,179,17.3941840591232,,,,17596.126,85.399,84,116,8.89609368225347,,,
R4_1-48h,,2,3.69966214673719,7.25,2.83,0.03191688424643,2.78725,1475,170.67860879442,1246.75,2087,250.51185101707,1749.25,28.8802384218114,2.1100521009314,25.612644592503,34209.453,170.199,147,206,17.295312542468,3.87179030252199,14.2271051194054,,17253.846,85.286,85,111,8.72304678854733,1.50899970622926,9.79611549057066,
R1_2-48h,,7,,,2.749,,,1191,,,1646,,,25.9671540649641,,,22376.027,168.628,126,187,11.3126737344705,,,,25319.789,85.948,85,128,12.8009548783005,,,
R2_2-48h,,9,,,2.779,,,1062,,,1488,,,23.2337925886069,,,30014.184,169.174,133,190,15.1743055636447,,,,17874.019,85.022,85,111,9.03658836623348,,,
R3_2-48h,,8,,,2.771,,,1326,,,1848,,,26.9280725531412,,,38108.457,168.296,123,177,19.2665364841175,,,,17369.056,85.408,85,114,8.78129364090179,,,
R4_2-48h,,2,2.69258240356725,6.5,2.807,0.020754517580517,2.7765,1346,114.46697121878,1231.25,1889,161.41929097849,1717.75,27.695915886701,1.6869180275412,25.956233773353,34969.302,170.098,139,212,17.6794702762991,3.46714597473382,15.858246514633,6033.6471877743,18972.887,85.29,84,111,9.59214432624595,1.86314907068214,10.0527453029204,19556.824333333
R1_3-48h,,8,,,2.748,,,1440,,,1989,,,28.1256034626269,,,29606.573,168.84,126,186,14.9682292010455,,,,23622.983,85.045,85,115,11.9430987151536,,,
R2_3-48h,,4,,,2.841,,,1333,,,1897,,,25.4920970810606,,,32196.723,168.906,126,188,16.2777343188816,,,,17641.798,85.022,84,112,8.91918412788086,,,
R3_3-48h,,6,,,2.746,,,1451,,,2000,,,27.7316946229876,,,37046.505,168.231,123,179,18.7296441887306,,,,18155.776,85.52,85,121,9.17903657714255,,,
R4_3-48h,,3,1.92028643696715,5.25,2.844,0.047767012676114,2.79475,1588,90.551090551136,1453,2260,135.09348614941,2036.5,29.8934033253083,1.5667624801909,27.810699622996,37875.892,170.113,155,215,19.1489583292888,1.99526848826661,17.2811415094866,31229.691416667,18220.248,85.257,85,106,9.21163176041655,1.4259243206269,9.81323779514839,2768.5378822737
,,,,,,,,,,,,,,,,,,,,,,3.05043795595154,15.7888310478416,,,,,,,1.39969288487561,9.88736619621316,
